effective_to_date,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies
2011-01-18,111,29,76,0,1
2011-01-01,71,34,56,0,2
2011-01-21,113,20,44,0,9
2011-01-29,72,6,34,4,3
2011-01-07,98,30,63,0,1
2011-01-15,186,32,24,1,1
2011-01-15,69,18,34,0,1
2011-02-07,66,23,19,0,1
2011-01-09,61,25,45,1,1
2011-01-03,106,6,14,0,3
2011-01-05,98,19,96,1,1
2011-01-30,73,10,10,0,1
2011-01-14,210,7,24,2,1
2011-01-11,71,3,32,0,1
2011-01-07,69,7,24,4,8
2011-02-10,170,30,47,0,1
2011-01-31,125,6,61,0,2
2011-01-07,71,16,37,0,3
2011-02-26,71,14,59,1,3
2011-01-03,100,8,16,1,4
2011-02-10,122,8,60,0,3
2011-02-10,70,28,10,2,2
2011-01-16,116,29,63,0,2
2011-01-02,93,18,95,0,3
2011-02-09,104,9,39,0,1
2011-01-14,210,7,24,2,1
2011-01-22,64,24,8,0,2
2011-02-05,73,35,14,0,2
2011-02-22,65,24,12,0,1
2011-02-03,114,2,75,0,6
2011-02-01,116,23,21,0,2
2011-01-26,135,34,28,1,3
2011-02-15,143,35,58,0,1
2011-02-18,78,15,44,0,1
2011-02-26,133,29,0,1,5
2011-01-24,101,4,37,0,3
2011-01-10,85,34,88,0,7
2011-02-08,99,25,57,5,2
2011-01-30,102,9,43,2,4
2011-02-04,103,30,23,2,1
2011-01-26,102,10,77,0,2
2011-02-07,96,10,70,0,2
2011-01-30,73,35,52,3,5
2011-01-28,108,29,52,0,2
2011-02-27,71,21,28,0,2
2011-02-28,73,33,27,0,1
2011-02-25,64,34,47,0,7
2011-02-01,70,13,76,0,2
2011-02-04,68,19,19,0,5
2011-01-27,70,20,13,0,4
2011-01-18,96,2,88,0,1
2011-01-28,111,35,68,0,1
2011-01-29,104,13,29,0,1
2011-01-15,66,8,11,0,1
2011-01-26,82,10,69,0,1
2011-02-20,121,16,64,0,1
2011-02-24,101,25,13,2,3
2011-01-22,70,8,34,0,1
2011-01-31,125,6,61,0,2
2011-02-17,71,13,24,0,1
2011-01-24,64,27,34,0,1
2011-01-28,65,9,81,0,3
2011-02-19,90,18,84,0,2
2011-01-28,62,14,11,0,6
2011-02-06,175,12,60,0,1
2011-01-21,114,24,10,3,9
2011-02-13,108,7,57,0,1
2011-01-17,63,1,21,0,2
2011-02-06,72,12,51,1,2
2011-01-18,137,2,40,0,5
2011-01-08,80,5,10,0,8
2011-02-09,67,34,32,0,1
2011-01-11,63,22,96,0,1
2011-02-10,104,17,61,0,2
2011-02-10,113,15,93,0,5
2011-01-30,88,4,52,0,2
2011-01-05,69,29,57,0,5
2011-02-11,73,35,87,1,1
2011-01-05,61,7,38,0,1
2011-02-17,62,26,98,0,1
2011-02-24,106,12,6,0,2
2011-02-06,63,19,13,0,8
2011-01-04,101,30,49,0,3
2011-01-14,107,2,74,0,3
2011-01-13,132,1,75,0,1
2011-01-02,76,17,27,0,8
2011-02-14,83,15,85,1,1
2011-02-18,83,12,1,2,9
2011-02-28,71,32,35,0,2
2011-01-21,82,32,8,1,9
2011-02-25,103,25,80,0,9
2011-02-16,84,3,37,3,8
2011-02-01,109,3,19,0,2
2011-02-15,114,3,70,0,1
2011-01-08,108,13,28,0,2
2011-01-18,74,29,32,0,1
2011-01-17,61,25,79,0,2
2011-01-07,114,20,96,1,2
2011-02-08,82,31,25,0,8
2011-01-25,96,28,90,5,5
2011-01-24,67,7,8,3,3
2011-01-27,74,11,76,4,2
2011-01-26,71,13,3,0,2
2011-02-15,74,0,41,0,2
2011-01-06,199,26,46,0,2
2011-02-18,73,21,31,0,3
2011-02-07,61,11,44,0,3
2011-01-26,66,8,68,0,1
2011-02-19,84,1,9,0,6
2011-01-04,180,14,70,0,4
2011-01-02,83,17,89,2,1
2011-01-08,74,23,62,0,3
2011-01-05,81,0,41,0,1
2011-02-22,94,26,99,0,3
2011-01-22,100,0,81,0,2
2011-02-11,65,12,57,2,1
2011-02-17,88,2,43,0,3
2011-01-29,119,8,86,0,7
2011-02-06,67,18,59,0,2
2011-02-27,103,6,28,0,2
2011-01-22,74,2,36,0,1
2011-02-02,99,7,4,0,1
2011-01-15,137,14,78,0,7
2011-01-31,82,26,33,0,3
2011-02-03,103,9,72,0,2
2011-01-19,73,17,5,2,8
2011-01-17,73,25,56,0,2
2011-02-15,155,9,62,1,8
2011-01-28,94,3,38,0,1
2011-01-25,67,22,24,0,7
2011-01-08,122,15,11,0,2
2011-01-16,83,3,72,3,1
2011-02-08,65,21,19,0,2
2011-01-14,72,12,36,0,2
2011-01-13,102,8,54,0,3
2011-02-12,79,14,28,0,1
2011-01-29,125,8,2,4,1
2011-01-26,68,4,67,0,9
2011-02-28,197,30,47,1,6
2011-02-27,66,23,14,1,8
2011-02-01,76,9,79,3,1
2011-02-15,223,5,28,1,6
2011-02-14,129,21,59,0,3
2011-02-14,65,12,68,1,2
2011-01-26,77,0,84,0,3
2011-02-05,165,29,6,2,1
2011-02-09,113,32,24,0,1
2011-02-16,69,11,44,0,5
2011-02-23,68,13,11,0,9
2011-02-15,97,3,60,1,7
2011-02-24,72,29,86,0,1
2011-01-17,96,25,71,0,6
2011-02-25,71,12,87,0,6
2011-01-26,63,27,52,0,7
2011-02-01,89,22,93,0,2
2011-01-11,137,34,77,0,4
2011-01-27,106,25,54,1,3
2011-01-22,79,8,38,0,2
2011-01-06,73,5,85,0,4
2011-01-01,66,7,17,0,1
2011-01-04,61,8,48,0,1
2011-01-30,102,35,48,0,2
2011-01-01,62,4,13,0,1
2011-02-20,90,14,20,0,3
2011-01-27,104,29,7,0,2
2011-02-16,71,19,64,1,1
2011-02-11,67,28,22,0,5
2011-01-01,80,27,79,0,9
2011-02-10,215,4,21,1,1
2011-02-27,66,8,91,0,9
2011-01-12,70,13,26,0,5
2011-01-31,92,34,39,1,2
2011-01-27,126,1,85,4,2
2011-02-01,97,1,66,0,2
2011-02-01,63,5,79,0,1
2011-01-13,99,21,35,1,4
2011-02-13,113,10,64,0,5
2011-01-26,116,1,76,1,1
2011-02-24,164,3,47,1,2
2011-01-19,91,12,52,0,2
2011-01-19,122,27,2,0,1
2011-02-18,72,6,67,0,8
2011-01-24,70,20,81,0,9
2011-02-19,73,35,36,0,2
2011-02-24,66,27,89,0,3
2011-02-18,88,25,43,0,1
2011-01-21,70,22,49,0,2
2011-01-29,87,17,42,0,1
2011-02-10,80,1,36,0,4
2011-01-15,70,13,75,0,2
2011-02-06,84,26,37,0,1
2011-02-26,93,28,3,0,8
2011-02-19,90,18,84,0,2
2011-02-05,63,32,94,0,1
2011-01-17,105,15,72,0,9
2011-02-02,110,27,30,0,2
2011-02-08,276,33,91,0,1
2011-02-17,87,24,29,0,2
2011-01-08,70,17,20,5,1
2011-02-21,73,10,98,0,2
2011-01-19,69,9,92,0,6
2011-02-01,117,10,10,0,5
2011-02-08,101,25,27,4,1
2011-01-18,114,16,70,1,1
2011-01-02,97,10,8,0,1
2011-02-19,106,7,70,0,6
2011-01-10,65,15,26,0,3
2011-01-19,121,20,10,0,2
2011-02-13,62,10,97,0,3
2011-01-09,61,6,48,0,2
2011-01-24,93,13,55,0,9
2011-01-19,64,24,92,0,5
2011-02-11,113,9,43,0,4
2011-02-08,276,33,91,0,1
2011-02-09,89,6,49,1,3
2011-01-02,61,8,91,0,1
2011-01-03,87,2,70,0,2
2011-01-10,180,13,86,2,1
2011-02-23,186,35,39,1,8
2011-02-02,64,18,80,0,7
2011-02-18,107,7,4,0,2
2011-02-20,94,22,77,0,3
2011-01-07,136,35,93,0,1
2011-02-19,90,15,55,0,3
2011-02-06,65,29,32,0,3
2011-01-30,172,23,6,0,1
2011-01-19,100,35,3,0,6
2011-02-01,88,11,82,3,4
2011-02-26,135,0,86,0,1
2011-02-14,65,15,58,0,1
2011-02-23,69,11,5,0,2
2011-02-18,61,7,52,0,9
2011-02-02,123,18,5,0,3
2011-01-06,77,29,21,0,2
2011-02-21,71,30,96,0,1
2011-01-30,65,19,7,0,9
2011-01-26,132,13,33,0,2
2011-01-24,105,5,87,0,3
2011-01-07,74,8,36,0,4
2011-02-03,61,20,61,0,1
2011-01-10,69,3,66,0,2
2011-02-03,92,22,31,0,8
2011-01-03,82,19,14,2,8
2011-01-19,69,8,38,0,9
2011-02-07,86,23,76,0,4
2011-01-03,67,28,2,0,6
2011-02-22,103,26,15,0,3
2011-02-26,72,21,32,0,7
2011-01-05,98,19,96,1,1
2011-02-10,215,4,21,1,1
2011-02-13,113,32,77,0,1
2011-02-08,110,0,35,0,1
2011-02-25,116,2,64,0,2
2011-02-27,118,12,70,1,9
2011-01-31,166,19,63,0,1
2011-02-18,66,0,93,1,1
2011-01-29,110,6,62,0,1
2011-01-15,71,11,37,0,6
2011-02-14,80,17,96,0,5
2011-02-21,110,15,76,0,1
2011-01-14,65,23,73,0,1
2011-01-29,72,4,17,0,1
2011-01-19,62,3,45,0,4
2011-02-03,64,5,80,0,6
2011-01-09,74,19,19,0,3
2011-01-09,69,13,74,0,1
2011-02-25,62,6,44,1,2
2011-02-04,70,0,92,0,3
2011-02-12,68,17,77,0,2
2011-02-23,102,0,82,3,2
2011-02-24,69,27,85,1,2
2011-01-12,91,32,4,0,2
2011-01-27,95,13,20,0,5
2011-01-26,117,13,73,0,3
2011-02-19,212,15,71,0,7
2011-02-13,106,27,66,0,2
2011-02-04,74,26,51,0,1
2011-02-28,105,14,4,0,4
2011-02-22,87,10,43,0,4
2011-02-11,67,11,96,0,1
2011-02-25,199,21,54,0,3
2011-02-20,71,4,45,0,1
2011-01-29,249,12,86,0,2
2011-01-10,134,6,77,3,4
2011-01-24,84,25,44,0,1
2011-02-02,65,8,5,0,1
2011-01-09,116,10,89,0,2
2011-02-28,61,24,2,0,2
2011-02-14,116,15,80,0,1
2011-01-05,117,24,36,0,1
2011-01-29,109,1,29,0,1
2011-02-18,105,1,79,0,2
2011-01-19,117,26,68,0,3
2011-01-24,94,19,98,2,4
2011-02-16,66,6,54,2,1
2011-01-01,91,7,53,0,4
2011-02-04,128,7,68,3,1
2011-01-13,125,27,97,4,1
2011-01-19,181,13,16,0,1
2011-01-29,139,4,35,0,2
2011-01-16,83,3,72,3,1
2011-02-06,72,8,61,0,2
2011-02-12,187,34,7,0,2
2011-02-25,73,24,47,0,3
2011-02-16,107,9,18,0,1
2011-02-27,111,3,59,0,9
2011-02-21,136,7,61,2,3
2011-01-04,69,19,49,0,9
2011-01-23,66,12,32,0,1
2011-01-14,84,32,27,2,3
2011-01-14,62,8,20,0,7
2011-02-04,74,20,3,0,2
2011-02-01,64,27,30,0,1
2011-02-14,63,25,56,1,4
2011-01-11,72,14,55,0,1
2011-01-31,86,18,8,0,6
2011-02-19,101,1,83,4,1
2011-01-16,68,8,86,0,2
2011-01-05,111,30,86,0,3
2011-01-24,129,15,42,0,3
2011-02-07,69,17,60,0,2
2011-01-29,61,9,16,1,1
2011-02-21,64,2,93,0,8
2011-02-02,122,15,85,0,1
2011-02-12,240,3,58,0,2
2011-01-30,106,9,4,0,1
2011-01-17,196,11,86,0,5
2011-01-14,64,1,56,0,3
2011-01-26,63,3,35,4,4
2011-01-27,84,17,5,0,2
2011-02-14,123,35,98,0,7
2011-01-29,93,24,25,0,2
2011-02-19,78,32,37,0,5
2011-01-12,89,8,83,4,1
2011-02-05,67,3,30,2,2
2011-02-24,105,2,84,0,5
2011-02-16,71,20,4,0,1
2011-01-16,102,16,1,1,1
2011-01-15,189,11,7,0,8
2011-01-10,63,19,28,1,3
2011-02-08,107,17,39,0,5
2011-01-24,113,11,40,0,6
2011-02-11,62,16,61,0,1
2011-01-22,70,6,95,2,1
2011-02-07,101,18,43,0,6
2011-01-03,78,19,18,0,1
2011-02-28,61,6,48,0,2
2011-01-28,103,14,79,0,1
2011-02-18,134,15,71,0,1
2011-01-03,67,4,6,0,2
2011-02-14,68,35,35,0,1
2011-01-28,62,15,7,0,2
2011-01-07,181,18,36,0,2
2011-02-05,66,30,96,1,9
2011-02-03,79,15,94,0,1
2011-01-06,68,2,33,0,2
2011-01-03,78,19,18,0,1
2011-01-05,73,15,72,0,2
2011-01-25,76,14,27,0,2
2011-01-04,106,4,67,0,1
2011-01-17,99,16,0,2,1
2011-02-13,181,22,79,0,8
2011-02-12,96,8,90,0,1
2011-01-16,72,6,7,1,8
2011-01-24,68,21,93,0,1
2011-01-19,80,23,4,0,1
2011-01-24,66,23,38,0,4
2011-01-25,84,21,2,1,5
2011-02-27,79,22,82,0,2
2011-02-24,96,31,34,0,1
2011-02-03,68,28,86,1,1
2011-02-03,115,14,42,0,2
2011-02-17,85,4,13,0,1
2011-02-04,117,17,41,1,9
2011-02-07,100,5,6,0,2
2011-02-11,74,22,31,0,1
2011-01-12,72,9,40,0,5
2011-01-25,62,4,58,1,1
2011-02-02,74,6,99,0,9
2011-02-23,109,27,30,0,2
2011-01-15,61,16,55,0,1
2011-02-14,73,35,47,0,1
2011-01-30,72,20,90,0,2
2011-02-09,68,15,20,0,1
2011-01-20,106,22,51,1,8
2011-02-01,68,25,89,3,1
2011-01-19,106,15,39,0,1
2011-02-27,62,3,12,0,5
2011-02-18,103,8,35,0,1
2011-02-04,69,23,66,0,1
2011-02-03,84,2,64,1,2
2011-01-16,108,9,71,0,2
2011-01-10,71,33,39,1,3
2011-01-25,117,11,37,0,3
2011-02-08,85,27,20,0,1
2011-02-06,61,7,35,0,3
2011-02-06,114,0,35,0,2
2011-01-03,79,7,2,1,1
2011-02-13,63,9,13,0,3
2011-01-22,113,11,86,0,1
2011-02-09,72,1,62,0,8
2011-01-08,61,27,2,1,2
2011-01-22,91,33,38,0,2
2011-02-08,73,18,45,0,5
2011-01-09,114,2,45,0,7
2011-01-30,66,21,87,3,2
2011-01-18,72,5,38,0,9
2011-02-19,68,6,94,0,2
2011-01-20,72,27,21,2,2
2011-01-24,71,35,7,1,2
2011-01-07,113,4,92,0,2
2011-01-04,122,1,94,0,1
2011-02-26,225,5,99,0,1
2011-01-29,71,21,51,4,5
2011-01-01,69,0,32,0,7
2011-02-23,74,1,83,0,9
2011-02-19,86,6,65,3,2
2011-01-10,124,28,49,0,1
2011-01-30,63,0,22,0,2
2011-02-21,137,12,38,0,1
2011-01-22,117,34,61,0,3
2011-02-27,67,25,74,0,4
2011-02-12,63,16,42,0,2
2011-02-12,73,29,38,0,1
2011-01-12,62,28,40,0,2
2011-01-08,99,9,17,0,1
2011-02-28,65,4,35,0,1
2011-01-02,76,10,29,0,2
2011-02-04,70,12,64,2,8
2011-01-11,113,5,90,0,2
2011-02-19,61,16,29,0,1
2011-02-07,64,27,32,3,5
2011-01-18,65,5,68,3,9
2011-02-14,61,26,71,0,1
2011-01-31,76,11,97,0,1
2011-02-02,71,4,19,0,1
2011-01-07,127,4,50,0,2
2011-02-03,130,12,15,0,1
2011-01-18,66,34,84,0,4
2011-02-26,66,9,85,0,3
2011-01-16,199,12,92,0,5
2011-01-29,192,22,68,1,1
2011-02-17,77,4,65,0,1
2011-01-08,78,14,15,1,7
2011-02-10,117,27,27,0,3
2011-01-05,112,27,46,0,4
2011-01-31,92,7,89,0,2
2011-02-12,118,31,83,0,1
2011-02-21,110,1,28,0,9
2011-01-20,65,2,73,0,8
2011-01-25,201,29,67,0,2
2011-01-22,100,5,72,0,3
2011-02-22,85,15,17,0,4
2011-01-14,85,31,28,0,1
2011-02-03,74,19,33,0,3
2011-02-15,63,3,5,0,6
2011-01-05,74,14,38,0,2
2011-01-11,97,10,3,0,2
2011-01-06,73,5,85,0,4
2011-02-06,116,20,9,2,6
2011-02-24,102,4,45,0,6
2011-01-12,119,14,87,0,7
2011-01-28,80,15,83,0,1
2011-01-11,89,32,99,0,1
2011-02-27,102,34,78,1,1
2011-01-05,81,0,41,0,1
2011-02-04,74,24,98,0,5
2011-02-08,71,7,31,0,1
2011-02-28,116,6,28,0,2
2011-01-06,245,21,56,0,2
2011-01-18,69,34,13,1,1
2011-02-26,98,29,81,0,1
2011-01-26,106,13,42,0,1
2011-02-23,86,21,35,0,3
2011-01-24,72,11,3,0,1
2011-02-16,64,0,56,0,3
2011-01-11,106,18,95,0,2
2011-01-29,100,1,25,0,4
2011-01-03,118,5,22,0,8
2011-01-08,84,7,1,0,1
2011-02-14,74,29,52,0,8
2011-01-06,68,33,48,0,2
2011-02-13,119,5,31,0,3
2011-02-24,61,32,42,0,3
2011-01-17,193,11,85,0,1
2011-02-07,97,27,59,0,1
2011-01-02,68,5,9,0,1
2011-01-30,124,15,86,0,8
2011-01-02,73,8,87,0,7
2011-02-10,77,31,33,0,3
2011-01-31,116,12,45,0,1
2011-01-15,131,18,62,1,3
2011-02-26,295,11,69,0,2
2011-01-01,111,17,53,2,6
2011-01-22,131,16,11,0,1
2011-02-22,111,31,76,0,1
2011-01-23,81,27,19,0,2
2011-01-03,79,6,55,0,1
2011-01-07,69,23,0,0,3
2011-02-17,65,28,48,0,1
2011-01-05,61,7,38,0,1
2011-02-03,68,0,62,0,3
2011-01-15,63,21,12,0,1
2011-01-03,108,16,83,0,2
2011-01-14,113,12,70,3,1
2011-02-08,68,11,90,0,4
2011-02-01,118,33,20,0,1
2011-01-21,72,22,58,0,5
2011-01-26,116,8,23,0,8
2011-01-25,70,12,58,0,2
2011-02-24,73,31,11,0,1
2011-02-05,117,4,11,0,2
2011-01-19,67,9,78,0,1
2011-02-04,191,29,6,0,1
2011-02-08,92,30,67,0,2
2011-02-05,84,0,76,0,4
2011-01-24,114,10,83,0,8
2011-01-23,119,6,97,0,7
2011-02-19,98,6,67,0,3
2011-01-20,74,6,61,0,1
2011-02-25,82,13,87,0,7
2011-01-01,187,2,84,0,3
2011-01-10,77,16,19,0,1
2011-01-06,70,10,37,0,9
2011-02-13,113,10,97,0,9
2011-01-14,106,15,20,0,3
2011-02-24,67,0,13,0,9
2011-01-10,65,15,26,0,3
2011-01-30,116,25,88,1,2
2011-01-25,83,15,8,0,1
2011-01-12,66,27,28,0,3
2011-01-27,139,16,50,0,1
2011-01-23,63,29,78,0,1
2011-01-29,73,4,77,0,1
2011-01-23,199,25,15,0,7
2011-01-16,186,27,76,2,1
2011-01-29,67,18,58,0,1
2011-01-12,92,31,24,1,1
2011-01-25,123,14,97,0,1
2011-01-01,123,3,49,0,6
2011-01-23,64,21,73,0,1
2011-01-28,85,34,40,1,1
2011-02-18,109,26,75,0,3
2011-01-31,109,4,27,1,1
2011-01-19,63,15,67,0,1
2011-02-09,71,32,21,2,9
2011-02-17,61,7,71,3,9
2011-01-26,72,22,1,3,1
2011-01-12,112,9,51,0,4
2011-02-02,70,6,61,3,2
2011-01-15,71,20,35,0,2
2011-01-01,130,22,27,0,1
2011-01-12,106,7,17,0,3
2011-02-10,119,17,23,0,1
2011-02-08,115,35,30,0,2
2011-01-26,73,6,97,0,9
2011-02-10,90,13,7,0,8
2011-02-11,76,7,16,0,2
2011-02-06,110,6,43,0,1
2011-02-05,69,4,0,0,9
2011-01-05,64,20,4,0,1
2011-01-17,68,13,98,0,1
2011-01-10,73,29,78,0,1
2011-01-31,82,18,2,0,8
2011-02-16,74,12,94,0,8
2011-01-16,79,29,81,2,8
2011-01-30,106,0,87,0,8
2011-01-08,127,23,60,0,3
2011-02-27,67,26,4,0,3
2011-02-08,71,4,89,0,8
2011-02-14,73,12,84,0,1
2011-01-19,115,22,78,0,2
2011-01-27,71,16,38,0,2
2011-01-31,62,19,57,0,3
2011-01-11,72,11,90,0,1
2011-02-14,124,12,58,0,2
2011-01-13,67,6,29,0,1
2011-01-16,73,8,63,0,1
2011-02-05,67,10,38,0,9
2011-02-03,78,27,75,0,9
2011-02-03,130,12,15,0,1
2011-01-21,113,20,44,0,9
2011-01-01,115,28,84,0,1
2011-02-25,76,20,17,0,6
2011-01-18,61,17,1,1,7
2011-02-02,62,17,29,1,1
2011-01-16,62,31,30,1,2
2011-01-07,66,34,74,0,1
2011-01-14,181,21,22,2,2
2011-01-18,96,19,30,0,1
2011-01-07,82,31,38,0,2
2011-02-24,62,22,57,0,9
2011-01-13,109,27,88,0,1
2011-01-26,82,29,61,1,2
2011-02-17,67,1,19,0,1
2011-02-20,239,19,59,0,7
2011-01-25,89,10,83,0,1
2011-01-03,69,31,89,0,5
2011-02-05,102,3,46,0,3
2011-02-22,106,16,23,0,1
2011-01-17,69,5,74,0,1
2011-02-12,125,16,29,0,9
2011-02-06,111,4,69,0,3
2011-01-18,61,26,62,0,2
2011-01-19,107,11,47,2,6
2011-01-18,96,2,53,0,1
2011-01-13,74,2,45,0,2
2011-02-05,66,7,56,0,1
2011-01-21,114,24,10,3,9
2011-01-16,132,5,97,0,8
2011-01-05,117,3,93,0,1
2011-02-03,199,0,74,0,1
2011-02-15,80,28,97,0,1
2011-01-06,66,7,28,0,2
2011-01-05,98,19,96,1,1
2011-02-02,71,29,70,0,1
2011-01-22,71,29,62,0,1
2011-01-21,115,0,3,0,3
2011-01-05,63,21,23,0,7
2011-01-11,110,22,72,0,9
2011-01-14,74,3,20,0,2
2011-02-28,64,31,31,0,2
2011-02-25,103,8,50,0,1
2011-01-17,65,28,19,0,2
2011-01-12,73,4,47,0,2
2011-01-19,118,30,76,0,9
2011-01-20,97,4,11,0,4
2011-01-21,63,11,2,0,1
2011-02-10,68,4,31,0,4
2011-02-26,101,8,89,0,1
2011-01-10,87,2,41,0,3
2011-02-04,69,0,86,0,1
2011-02-07,66,19,22,0,2
2011-01-16,79,29,17,0,4
2011-01-20,82,4,9,1,7
2011-02-11,64,0,32,0,1
2011-02-28,69,4,92,2,3
2011-01-10,62,12,53,0,3
2011-01-08,128,6,81,0,1
2011-02-24,83,18,86,1,4
2011-02-16,110,31,20,0,2
2011-02-24,62,35,47,2,1
2011-02-14,117,16,35,0,9
2011-02-28,66,12,71,0,1
2011-01-06,67,33,57,0,5
2011-01-24,69,13,75,0,1
2011-01-02,108,3,44,0,3
2011-01-06,62,22,39,0,6
2011-01-20,61,27,12,0,3
2011-01-20,70,13,8,0,3
2011-01-26,111,23,95,0,3
2011-01-21,82,14,23,0,6
2011-01-12,89,6,17,0,2
2011-01-20,83,30,72,0,7
2011-01-30,74,0,52,0,1
2011-02-20,64,4,0,1,6
2011-02-26,109,16,70,1,1
2011-01-11,73,7,78,0,5
2011-02-09,66,13,59,0,1
2011-02-11,92,1,17,0,6
2011-02-10,64,13,41,0,5
2011-01-25,115,8,19,0,3
2011-01-10,80,14,84,0,1
2011-02-28,61,17,30,0,4
2011-01-16,110,17,44,0,8
2011-02-04,86,4,56,0,8
2011-01-14,85,32,55,0,8
2011-02-28,64,32,60,1,1
2011-02-03,110,4,61,0,1
2011-01-01,90,4,18,0,5
2011-02-10,72,18,31,1,3
2011-02-22,66,32,30,0,7
2011-02-26,67,6,60,1,1
2011-01-05,108,21,9,0,3
2011-01-20,195,31,15,0,1
2011-02-06,67,35,7,0,1
2011-01-31,70,21,31,0,1
2011-01-02,112,12,93,0,3
2011-01-06,87,6,73,0,7
2011-02-07,72,9,69,4,3
2011-02-07,79,32,2,0,3
2011-01-30,84,32,96,0,4
2011-02-22,180,0,95,0,1
2011-01-21,216,17,0,0,1
2011-01-10,115,14,6,0,3
2011-01-10,74,33,92,0,4
2011-01-05,79,15,32,0,3
2011-01-31,100,31,80,0,1
2011-02-24,87,15,59,0,3
2011-01-12,114,18,35,0,1
2011-01-14,65,7,47,0,2
2011-01-07,117,30,78,0,3
2011-02-15,66,15,75,0,2
2011-01-06,66,11,4,0,1
2011-01-29,71,17,79,0,6
2011-01-27,105,8,50,0,4
2011-01-03,114,25,12,0,4
2011-02-16,159,19,75,0,2
2011-01-10,125,7,99,0,3
2011-01-24,81,10,80,3,3
2011-01-09,110,28,16,0,1
2011-01-14,173,24,21,0,2
2011-01-22,115,10,46,4,4
2011-01-09,83,18,79,0,7
2011-01-22,109,32,41,0,3
2011-01-26,66,26,0,0,3
2011-02-17,182,24,45,0,1
2011-02-28,111,18,63,0,1
2011-01-05,103,6,73,0,2
2011-01-31,104,19,65,2,1
2011-01-23,76,0,91,0,2
2011-02-12,117,0,65,0,4
2011-02-01,109,3,71,1,5
2011-02-26,63,3,64,0,1
2011-02-02,72,3,65,2,3
2011-02-07,65,2,46,0,9
2011-01-16,71,25,81,0,5
2011-02-28,72,8,59,3,1
2011-02-22,69,3,22,0,1
2011-02-21,68,20,97,5,1
2011-01-23,199,7,44,1,1
2011-02-13,106,29,38,0,1
2011-01-08,64,23,83,0,1
2011-02-11,122,33,28,0,2
2011-01-06,87,35,3,0,1
2011-01-25,80,33,72,0,1
2011-02-20,65,10,10,0,2
2011-02-17,63,33,41,0,5
2011-01-31,71,2,21,1,3
2011-02-25,72,28,86,0,3
2011-01-07,86,8,63,0,1
2011-02-12,68,10,48,0,3
2011-02-24,69,31,25,0,7
2011-02-11,65,35,78,0,1
2011-01-09,66,7,36,0,2
2011-02-05,119,34,65,0,1
2011-01-19,61,5,88,0,1
2011-02-21,72,8,61,1,2
2011-01-08,66,29,9,0,1
2011-02-14,65,7,97,0,1
2011-01-14,95,10,5,0,5
2011-01-11,116,19,2,0,1
2011-02-24,88,15,1,1,1
2011-01-02,64,22,22,0,4
2011-01-03,101,10,48,0,2
2011-02-15,92,3,9,0,1
2011-01-20,89,1,45,2,9
2011-01-05,139,1,19,0,2
2011-01-23,196,8,87,0,1
2011-01-02,66,6,55,2,2
2011-01-02,72,6,42,0,1
2011-02-14,105,12,82,0,1
2011-02-24,106,11,54,0,2
2011-01-13,71,22,25,0,1
2011-01-27,90,26,19,3,1
2011-01-14,65,10,7,0,1
2011-02-13,71,16,77,1,3
2011-02-16,67,4,26,0,2
2011-02-21,194,0,22,0,2
2011-01-14,63,22,7,3,1
2011-01-24,91,23,21,0,3
2011-01-08,138,31,99,0,1
2011-01-11,111,15,12,0,2
2011-02-26,133,0,59,0,2
2011-01-25,74,21,96,0,1
2011-01-12,61,33,71,0,2
2011-01-21,103,20,55,0,1
2011-02-09,72,35,86,0,2
2011-01-14,69,32,21,0,2
2011-01-20,67,4,44,0,1
2011-02-14,62,1,73,0,3
2011-02-20,66,21,57,0,1
2011-01-09,69,16,16,2,2
2011-02-21,65,33,38,0,1
2011-02-12,149,4,76,0,2
2011-01-29,105,9,21,0,1
2011-01-11,65,12,25,3,2
2011-01-18,112,19,0,0,3
2011-02-25,103,8,50,0,1
2011-01-20,84,29,39,0,3
2011-02-26,117,25,43,0,2
2011-01-13,113,1,1,0,3
2011-01-26,106,21,25,0,9
2011-02-08,68,31,69,2,2
2011-02-21,63,20,36,0,1
2011-02-24,74,13,30,0,4
2011-01-21,66,9,56,0,1
2011-01-13,61,6,56,4,1
2011-02-13,89,35,65,0,8
2011-02-19,76,18,58,0,5
2011-01-25,91,26,45,0,2
2011-02-21,73,16,71,0,1
2011-01-11,97,10,3,0,2
2011-02-12,90,16,66,2,6
2011-02-15,71,27,43,0,1
2011-02-20,122,26,5,1,2
2011-01-19,131,25,36,0,1
2011-01-15,64,20,14,0,2
2011-01-13,66,11,35,0,9
2011-02-23,136,25,10,1,1
2011-01-10,77,15,89,0,1
2011-01-26,69,4,39,0,5
2011-01-30,69,27,36,0,1
2011-01-27,118,16,4,0,1
2011-01-26,70,18,23,0,2
2011-01-12,86,8,37,0,1
2011-01-31,71,13,20,0,2
2011-02-10,108,28,10,0,1
2011-01-05,64,2,32,0,3
2011-02-03,130,12,15,0,1
2011-02-22,74,14,22,2,8
2011-01-20,96,6,60,0,1
2011-02-12,107,13,98,0,4
2011-02-24,106,11,54,0,2
2011-02-26,96,0,38,0,3
2011-02-11,136,7,34,0,3
2011-02-19,112,14,11,0,1
2011-01-27,62,0,50,2,1
2011-02-28,121,13,95,0,3
2011-02-22,110,16,17,0,5
